Symbol,Score
ABSLAMC,22
ARE&M,22
TARSONS,22
HDFCAMC,22
APEX,22
SAPPHIRE,22
CHOLAHLDNG,22
MTARTECH,22
SANSTAR,22
BAJFINANCE,22
OILIETF,22
AMAGI,22
ANURAS,22
TRANSWORLD,22
HAL,22
BDL,22
KABRAEXTRU,22
DCXINDIA,22
CROMPTON,22
ITI,22
SASKEN,22
IKIO,22
AGARWALEYE,22
IMPAL,22
GHCLTEXTIL,22
AURIONPRO,22
BAJAJFINSV,22
GABRIEL,22
ACI,22
MARKOLINES,22
BHARATWIRE,22
IPCALAB,22
HINDWAREAP,22
WEBELSOLAR,22
ATALREAL,22
JBCHEPHARM,22
GRANULES,22
PTC,22
BBOX,22
JARO,22
QUESS,22
POKARNA,22
PICCADIL,22
FISCHER,22
PVTBANKADD,22
CUMMINSIND,22
LT,22
APARINDS,22
NPST,22
ULTRACEMCO,22
FORCEMOT,22
HDFCNIFTY,22
PGHL,22
RVNL,22
SSWL,22
NH,22
HCG,22
TIMETECHNO,22
THELEELA,22
HNDFDS,22
EDELWEISS,22
EBBETF0433,22
PFOCUS,22
GLAXO,22
ROHLTD,22
AVALON,22
GSPL,22
JAGRAN,22
CENTUM,22
GMBREW,22
MOTILALOFS,22
INDHOTEL,22
BLKASHYAP,22
KEI,22
GPIL,22
SOLARINDS,22
GALLANTT,22
KOLTEPATIL,22
KERNEX,22
COLPAL,22
MBAPL,22
ADVANIHOTR,22
VGUARD,22
NIFTYIETF,22
RAIN,22
NMDC,22
RUSTOMJEE,22
APOLLO,22
JKIL,22
V2RETAIL,22
RPOWER,22
CEATLTD,22
NIF100BEES,22
BRIGADE,22
TRIVENI,22
IOC,22
ABB,22
BIOCON,22
AKZOINDIA,22
SARDAEN,22
TI,22
EXIDEIND,22
GENCON,22
SYNGENE,22
JSWINFRA,22
HIRECT,22
RAJRATAN,22
VENTIVE,22
PNBHOUSING,22
MFSL,22
MUTHOOTCAP,22
UNITDSPR,22
SATIN,22
HEMIPROP,22
HIMATSEIDE,22
HINDUNILVR,22
SOBHA,22
STOVEKRAFT,22
SETFNIF50,22
HBLENGINE,22
SAMMAANCAP,22
GODREJCP,22
METROPOLIS,22
POLYCAB,22
MCX,22
HEG,22
HLEGLAS,22
BSE,22
RAYMONDREL,22
HIKAL,22
ETHOSLTD,22
SCHNEIDER,22
CESC,22
MRF,22
PINELABS,22
MONIFTY500,22
ONEPOINT,22
JASH,22
CEWATER,22
ICICIPRULI,22
RAMRAT,22
THANGAMAYL,22
EMSLIMITED,22
ANTHEM,22
PAGEIND,22
SHK,22
SUVEN,22
LUMAXIND,22
NESTLEIND,22
MMTC,22
QUADFUTURE,22
ABBOTINDIA,22
GESHIP,22
JSWENERGY,22
REDTAPE,22
GLOTTIS,22
AHLUCONT,22
HDBFS,22
LLOYDSENGG,22
AFFLE,22
MARUTI,22
QPOWER,22
HINDPETRO,22
INFRAIETF,22
SMARTWORKS,22
NIFTYBEES,22
JSLL,22
SHREEPUSHK,22
CASTROLIND,22
CGPOWER,22
UTLSOLAR,22
MANINFRA,22
SPAL,22
JUNIORBEES,22
GUJGASLTD,22
UNIONBANK,22
HOMEFIRST,22
INDIAMART,22
ABFRL,15
SHREEJISPG,15
GOLD360,15
RUBICON,15
WEWORK,15
JAINREC,15
EUROPRATIK,15
TRUALT,15
ELM250,15
TMCV,15
IKS,15
GROWW,15
SAILIFE,15
PWL,15
SANATHAN,15
GOLDBND,15
SENORES,15
KITEX,15
BLACKBUCK,15
CHOICEGOLD,15
MAYURUNIQ,15
PARKHOSPS,15
TVSHLTD,15
HYUNDAI,15
EBGNG,15
BRIGHOTEL,15
MOGOLD,15
AHCL,15
ORKLAINDIA,15
SCODATUBES,15
BELRISE,15
DEVX,15
WAAREEENER,15
NIBE,15
GROWWGOLD,15
GROWWSLVR,15
HEXT,15
SBIBPB,15
AARTIIND,15
POLYMED,15
LIQUIDIETF,15
MEDPLUS,15
SJS,15
LICNETFGSC,15
SOUTHBANK,15
AXISBANK,15
CARTRADE,15
ASAHIINDIA,15
UGROCAP,15
PDSL,15
AAREYDRUGS,15
SHARDACROP,15
CREDITACC,15
LICMFGOLD,15
JAGSNPHARM,15
SENSEXIETF,15
PUNJABCHEM,15
NAVA,15
CAPLIPOINT,15
VENKEYS,15
TATACOMM,15
HEALTHIETF,15
ADANIGREEN,15
TORNTPHARM,15
MAFANG,15
DATAPATTNS,15
SETFNIFBK,15
ALPHA,15
WEL,15
IGL,15
WELSPUNLIV,15
IDFCFIRSTB,15
SIRCA,15
INFOBEAN,15
LIQUIDBEES,15
HDFCSILVER,15
GRMOVER,15
