Symbol,Score
BUILDPRO,25
ALEMBICLTD,25
ROUTE,25
APOLLOTYRE,25
MEESHO,25
MASFIN,25
ASIANPAINT,25
GICRE,25
GLOTTIS,25
BAJAJHLDNG,25
CESC,25
ARSSBL,25
STYL,25
BALKRISIND,25
CAMS,25
BBTC,25
PINELABS,25
ADVENTHTL,25
HDFCLIFE,25
PWL,25
CARBORUNIV,25
MIDWESTLTD,25
CANHLIFE,25
GEMAROMA,25
RMDRIP,25
ATHERENERG,25
PNGJL,25
SANOFI,25
MIDHANI,25
DAMCAPITAL,25
ONGC,25
MOBIKWIK,25
BCLIND,25
EIEL,25
CUB,25
NIVABUPA,25
PFIZER,25
KMEW,25
POLYPLEX,25
MTARTECH,25
SAGILITY,25
TBZ,25
JUBLINGREA,25
CRAFTSMAN,25
VINCOFE,25
RIIL,25
GARUDA,25
APLAPOLLO,25
GROWWDEFNC,25
METAL,25
SAIL,25
ORIENTELEC,25
DIFFNKG,25
WONDERLA,25
SCI,25
VEDL,25
SHREECEM,25
SENORES,25
HEIDELBERG,25
ZUARI,25
JBCHEPHARM,25
IFCI,25
RBA,25
RAJOOENG,25
ENRIN,25
WAAREERTL,25
TINNARUBR,25
INDIANHUME,25
NBCC,25
TARC,25
LINDEINDIA,25
SUNDROP,25
HGINFRA,25
JAYBARMARU,25
ORIENTCEM,25
SETL,25
JUSTDIAL,25
JYOTISTRUC,25
KOTAKBANK,25
KSB,25
M&M,25
CHENNPETRO,25
GROWWRAIL,25
PROTEAN,25
MAHSCOOTER,25
VMART,25
ITCHOTELS,25
LAXMIDENTL,25
INDUSTOWER,25
ASTRAZEN,25
SHADOWFAX,25
SANSERA,25
TMB,25
ZFCVINDIA,25
STCINDIA,25
RADICO,25
GVT&D,25
INDIGO,25
SUVEN,25
KIRIINDUS,25
BHARATWIRE,25
NSIL,25
JAIBALAJI,25
IGL,25
TITAGARH,25
DREDGECORP,25
LUXIND,25
PTC,25
DHANBANK,25
RAIN,25
IRB,25
PVTBANIETF,25
ZOTA,25
RKFORGE,25
CEATLTD,25
EXCELINDUS,25
BGRENERGY,25
EMIL,25
TCS,25
TARIL,25
PATANJALI,25
CROMPTON,25
TTML,25
IDEAFORGE,25
VLEGOV,25
CAMPUS,25
MMTC,25
COHANCE,25
LICI,25
VENUSPIPES,25
ETHOSLTD,25
LTIM,25
LLOYDSENGG,25
REFEX,25
EMUDHRA,25
NEOGEN,25
MANORAMA,25
RADHIKAJWE,25
JISLJALEQS,25
LUPIN,25
SHARDAMOTR,25
LIQUID,25
NAVKARCORP,25
MARKSANS,25
PREMEXPLN,25
SETF10GILT,25
ASAL,25
